股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key
2383,台光電,2026-06-10 23:13:45,False,,,,,,,,,,,
2401,凌陽,2026-06-10 23:13:45,False,,,,,,,,,,,
2399,映泰,2026-06-10 23:13:45,False,,,,,,,,,,,
2393,億光,2026-06-10 23:13:45,False,,,,,,,,,,,
2392,正崴,2026-06-10 23:13:45,False,,,,,,,,,,,
2404,漢唐,2026-06-10 23:13:45,False,,,,,,,,,,,
2397,友通,2026-06-10 23:13:45,False,,,,,,,,,,,
2395,研華,2026-06-10 23:13:45,False,,,,,,,,,,,
2405,輔信,2026-06-10 23:13:45,False,,,,,,,,,,,
2402,毅嘉,2026-06-10 23:13:45,False,,,,,,,,,,,
2406,國碩,2026-06-10 23:13:45,False,,,,,,,,,,,
2408,南亞科,2026-06-10 23:13:45,False,,,,,,,,,,,
2412,中華電,2026-06-10 23:13:45,False,,,,,,,,,,,
2420,新巨,2026-06-10 23:13:45,False,,,,,,,,,,,
2413,環科,2026-06-10 23:13:45,False,,,,,,,,,,,
2415,錩新,2026-06-10 23:13:45,False,,,,,,,,,,,
2409,友達,2026-06-10 23:13:45,False,,,,,,,,,,,
2417,圓剛,2026-06-10 23:13:45,False,,,,,,,,,,,
2414,精技,2026-06-10 23:13:45,False,,,,,,,,,,,
2419,仲琦,2026-06-10 23:13:45,False,,,,,,,,,,,
2421,建準,2026-06-10 23:13:45,False,,,,,,,,,,,
2423,固緯,2026-06-10 23:13:45,False,,,,,,,,,,,
2424,隴華,2026-06-10 23:13:45,False,,,,,,,,,,,
2433,互盛電,2026-06-10 23:13:45,False,,,,,,,,,,,
2425,承啟,2026-06-10 23:13:45,False,,,,,,,,,,,
2427,三商電,2026-06-10 23:13:45,False,,,,,,,,,,,
2430,燦坤,2026-06-10 23:13:45,False,,,,,,,,,,,
2429,銘旺科,2026-06-10 23:13:45,False,,,,,,,,,,,
2431,聯昌,2026-06-10 23:13:45,False,,,,,,,,,,,
2428,興勤,2026-06-10 23:13:45,False,,,,,,,,,,,
2426,鼎元,2026-06-10 23:13:45,False,,,,,,,,,,,
2436,偉詮電,2026-06-10 23:13:45,False,,,,,,,,,,,
2434,統懋,2026-06-10 23:13:45,False,,,,,,,,,,,
2438,翔耀,2026-06-10 23:13:45,False,,,,,,,,,,,
2442,新美齊,2026-06-10 23:13:45,False,,,,,,,,,,,
2439,美律,2026-06-10 23:13:45,False,,,,,,,,,,,
2444,兆勁,2026-06-10 23:13:45,False,,,,,,,,,,,
2440,太空梭,2026-06-10 23:13:45,False,,,,,,,,,,,
2441,超豐,2026-06-10 23:13:45,False,,,,,,,,,,,
2450,神腦,2026-06-10 23:13:45,False,,,,,,,,,,,
2451,創見,2026-06-10 23:13:45,False,,,,,,,,,,,
2449,京元電子,2026-06-10 23:13:45,False,,,,,,,,,,,
2454,聯發科,2026-06-10 23:13:45,False,,,,,,,,,,,
2453,凌群,2026-06-10 23:13:45,False,,,,,,,,,,,
2457,飛宏,2026-06-10 23:13:45,False,,,,,,,,,,,
2459,敦吉,2026-06-10 23:13:45,False,,,,,,,,,,,
2460,建通,2026-06-10 23:13:45,False,,,,,,,,,,,
2458,義隆,2026-06-10 23:13:45,False,,,,,,,,,,,
2455,全新,2026-06-10 23:13:45,False,,,,,,,,,,,
2461,光群雷,2026-06-10 23:13:45,False,,,,,,,,,,,
2462,良得電,2026-06-10 23:13:45,False,,,,,,,,,,,
2465,麗臺,2026-06-10 23:13:45,False,,,,,,,,,,,
2464,盟立,2026-06-10 23:13:45,False,,,,,,,,,,,
2467,志聖,2026-06-10 23:13:45,False,,,,,,,,,,,
